Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35068671,The Perfectionists: How Precision Engineers Created the Modern World,Simon Winchester,"Winchester, Simon",,"=""0062652575""","=""9780062652577""",0,4.14,Harper,ebook,416,2018,2018,,2024/12/31,to-read,to-read (#259),to-read,,,,0,0
19089,Middlemarch,George Eliot,"Eliot, George",Michel Faber,"=""0451529170""","=""9780451529176""",0,4.02,Signet,Mass Market Paperback,912,2003,1872,,2024/12/25,currently-reading,currently-reading (#30),currently-reading,,,,1,0
380609,The Bacchae,Euripides,"Euripides, Euripides","Kenneth McLeish, Frederic Raphael","=""1854594117""","=""9781854594112""",0,3.93,Nick Hern Books,Paperback,96,1999,-405,2024/10/06,2024/10/06,,,read,,,,1,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",4,3.68,Atlantic Monthly Press,Hardcover,207,2023,2023,2024/08/27,2024/07/30,,,read,,,,1,0
96446,How to Watch TV News,Neil Postman,"Postman, Neil",Steve Powers,"=""0140132317""","=""9780140132311""",3,3.76,Penguin Books,Paperback,192,1992,1991,2024/08/18,2024/08/13,,,read,,,,1,0
38212112,The Culture of Narcissism: American Life in An Age of Diminishing Expectations,Christopher Lasch,"Lasch, Christopher",,"=""0393356175""","=""9780393356175""",4,3.98,W. W. Norton & Company,Paperback,368,2018,1978,2024/08/04,2022/12/18,,,read,,,,1,0
192221,How to Solve It: A New Aspect of Mathematical Method (Princeton Science Library),G. Pólya,"Pólya, G.",John H. Conway,"=""069111966X""","=""9780691119663""",0,4.13,Princeton University Press,Paperback,288,2015,1944,,2024/07/21,to-read,to-read (#258),to-read,,,,0,0
722414,Computer Lib/Dream Machines,Ted Nelson,"Nelson, Ted",,"=""0914845497""","=""9780914845492""",0,4.41,Tempus Books of Microsoft Press,Paperback,330,1987,1974,,2024/07/21,to-read,to-read (#257),to-read,,,,0,0
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",5,4.14,Broadway,Paperback,246,1998,1990,2024/07/12,2024/07/13,,,read,,,,1,0
7170627,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",0,4.34,Scribner,Hardcover,571,2010,2010,,2024/07/12,to-read,to-read (#256),to-read,,,,0,0
13707734,The Swerve: How the World Became Modern,Stephen Greenblatt,"Greenblatt, Stephen",,"=""0393343405""","=""9780393343403""",0,3.87,W. W. Norton & Company,Paperback,356,2012,2011,,2024/07/12,to-read,to-read (#255),to-read,,,,0,0
29658,Postwar: A History of Europe Since 1945,Tony Judt,"Judt, Tony",,"=""0143037757""","=""9780143037750""",0,4.37,Penguin Books,Paperback,933,2006,2005,,2024/07/12,to-read,to-read (#254),to-read,,,,0,0
9231119,Bourgeois Dignity: Why Economics Can't Explain the Modern World,Deirdre Nansen McCloskey,"McCloskey, Deirdre Nansen",,"=""0226556654""","=""9780226556659""",0,4.13,University of Chicago Press,Hardcover,592,2010,2010,,2024/07/12,to-read,to-read (#253),to-read,,,,0,0
11869272,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,"Boo, Katherine",,"=""1400067553""","=""9781400067558""",0,3.98,Random House,Hardcover,278,2012,2012,,2024/07/12,to-read,to-read (#252),to-read,,,,0,0
40163119,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385521316""","=""9780385521314""",0,4.47,Doubleday,Hardcover,441,2019,2018,,2024/07/12,to-read,to-read (#251),to-read,,,,0,0
3985,The Amazing Adventures of Kavalier & Clay,Michael Chabon,"Chabon, Michael",,"=""0312282990""","=""9780312282998""",0,4.18,Picador USA,Paperback,639,2001,2000,,2024/07/12,to-read,to-read (#250),to-read,,,,0,0
297673,The Brief Wondrous Life of Oscar Wao,Junot Díaz,"Díaz, Junot",,"=""1594489580""","=""9781594489587""",0,3.89,Riverhead Books,Hardcover,335,2007,2007,,2024/07/12,to-read,to-read (#249),to-read,,,,0,0
63032,2666,Roberto Bolaño,"Bolaño, Roberto",,"=""843396867X""","=""9788433968678""",0,4.21,Anagrama,Paperback,1128,2004,2004,,2024/07/12,to-read,to-read (#248),to-read,,,,0,0
